,ВУЗ,Стоимость,Бюджет балл,Бюджет мест,Договор балл,Договор мест,Очная форма обучения,Очно-заочная форма обучения,Заочная форма обучения,Дистанционная форма обучения,Специальность,Сайт
0,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,150000,202,30,132,55,Есть,Есть,Нет,Нет,09.03.03,vuzopedia.ru
1,Университет СИНЕРГИЯ,52000,,,108,420,Нет,Нет,Нет,Есть,09.03.03,vuzopedia.ru
2,Национальный исследовательский технологический университет «МИСиС»,209000,273,27,132,130,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
3,Национальный исследовательский университет «МИЭТ»,93000,252,45,119,90,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
4,Московский авиационный институт НИУ,64210,256,37,174,80,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
5,Московский государственный технологический университет «Станкин»,223700,237,65,161,35,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
6,Московский областной филиал «Институт искусств и информационных технологий» Санкт-Петербургского Гуманитарного университета профсоюзов,51000,,,130,32,Нет,Нет,Есть,Нет,09.03.03,vuzopedia.ru
7,Российский государственный гуманитарный университет,249000,225,22,198,10,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
8,Государственный университет «Дубна»,44400,207,50,124,50,Есть,Нет,Нет,Есть,09.03.03,vuzopedia.ru
9,Московский технический университет связи и информатики,227800,245,25,,,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
10,Московский гуманитарный университет,85000,,,162,150,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
11,Национальный исследовательский университет «МЭИ»,86000,235,35,125,300,Есть,Есть,Есть,Нет,09.03.03,vuzopedia.ru
12,Российский экономический университет имени Г.В. Плеханова,120000,265,25,135,120,Есть,Есть,Нет,Нет,09.03.03,vuzopedia.ru
13,Московский государственный психолого-педагогический университет,247000,213,22,200,10,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
14,Российский государственный аграрный университет - МСХА имени К.А. Тимирязева,281600,216,22,178,5,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
15,Российский новый университет,58000,219,10,129,50,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
16,Московский финансово-юридический университет,63000,,10,103,285,Есть,Есть,Есть,Нет,09.03.03,vuzopedia.ru
17,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,150000,202,30,132,55,Есть,Есть,Нет,Нет,09.03.03,vuzopedia.ru
18,Университет СИНЕРГИЯ,52000,,,108,420,Нет,Нет,Нет,Есть,09.03.03,vuzopedia.ru
19,Национальный исследовательский технологический университет «МИСиС»,209000,273,27,132,130,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
20,Национальный исследовательский университет «МИЭТ»,93000,252,45,119,90,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
21,Московский авиационный институт НИУ,64210,256,37,174,80,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
22,Московский государственный технологический университет «Станкин»,223700,237,65,161,35,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
23,Московский областной филиал «Институт искусств и информационных технологий» Санкт-Петербургского Гуманитарного университета профсоюзов,51000,,,130,32,Нет,Нет,Есть,Нет,09.03.03,vuzopedia.ru
24,Российский государственный гуманитарный университет,249000,225,22,198,10,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
25,Государственный университет «Дубна»,44400,207,50,124,50,Есть,Нет,Нет,Есть,09.03.03,vuzopedia.ru
26,Московский технический университет связи и информатики,227800,245,25,,,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
27,Московский гуманитарный университет,85000,,,162,150,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
28,Национальный исследовательский университет «МЭИ»,86000,235,35,125,300,Есть,Есть,Есть,Нет,09.03.03,vuzopedia.ru
29,Российский экономический университет имени Г.В. Плеханова,120000,265,25,135,120,Есть,Есть,Нет,Нет,09.03.03,vuzopedia.ru
30,Московский государственный психолого-педагогический университет,247000,213,22,200,10,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
31,Российский государственный аграрный университет - МСХА имени К.А. Тимирязева,281600,216,22,178,5,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
32,Российский университет дружбы народов,264800,251,21,127,9,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
33,Московский университет имени С.Ю. Витте,44000,,26,121,190,Есть,Есть,Есть,Есть,09.03.03,vuzopedia.ru
34,Государственный университет управления,235000,240,22,126,60,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
35,МИРЭА - Российский технологический университет,221250,259,180,121,210,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
36,Московский педагогический государственный университет,95000,213,36,113,31,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
37,Московский государственный университет технологий и управления им. К.Г. Разумовского,83000,,10,103,80,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
38,Российский университет транспорта (МИИТ),206900,198,42,99,18,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
39,Российский государственный геологоразведочный университет им. С. Орджоникидзе,70000,161,27,110,33,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
40,Финансовый университет при Правительстве Российской Федерации,120000,237,94,115,60,Есть,Есть,Есть,Нет,09.03.03,vuzopedia.ru
41,Московский государственный университет геодезии и картографии,176000,208,25,123,35,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
42,Московский государственный университет пищевых производств,172000,186,10,,,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
43,Московский государственный гуманитарно-экономический университет,125000,196,10,,,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
44,Московский областной филиал в г. Сергиев Посад Московского финансово-юридического университета МФЮА,34000,,,,,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
45,Технологический университет,55000,135,13,,,Есть,Нет,Есть,Нет,09.03.03,vuzopedia.ru
46,Московский государственный областной гуманитарный институт,70000,,,,,Есть,Нет,Нет,Нет,09.03.03,vuzopedia.ru
47,Филиал «Протвино» Государственного университета «Дубна»,42500,,,,,Нет,Нет,Есть,Нет,09.03.03,vuzopedia.ru
